id;block;typ;stt;de;suchvarianten;en;ru;fa;fa_vokal;k_en;k_ru;k_fa;anmerkung
C134;C;weich;0;Sauerteig;Sauerteig;leaven;закваска;خمیرمایه;;3;3;2;Meist bildlich gebraucht.
C135;C;hart;0;Weinstock;Weinstock|Reben|Rebe;vine;виноградная лоза;تاک;;3;3;2;
C136;C;hart;0;Hirte;guten Hirte|guter Hirte|gutes Hirte|gutem Hirte|gute Hirte|Hirten|Hirte;shepherd;пастырь;شبان;;3;3;2;FALLSTRICK RU: pastyr geistlich, pastukh ist der Beruf.
C137;C;weich;0;Bräutigam;Bräutigam|die Braut;bridegroom;жених;داماد;;3;3;2;Bildwort fuer Christus und Gemeinde.
C138;C;hart;1;Halleluja;Halleluja;Hallelujah;Аллилуйя;هللویاه;;3;3;2;
C139;C;hart;1;Hosianna;Hosianna|Hosanna;Hosanna;Осанна;هوشیعانا;هوشیعانا;3;3;3;
C140;C;hart;0;Amen;Amen;Amen;Аминь;آمین;;3;3;3;
C141;C;hart;1;Immanuel;Immanuel|Emmanuel;Immanuel;Еммануил;عمانوئیل;;3;3;2;
C142;C;hart;1;Vaterunser;Vaterunser;Lord's Prayer;Отче наш;دعای ربانی;;3;3;2;
C143;C;hart;1;Barmherziger Samariter;barmherzigen Samariter|barmherziger Samariter|barmherziges Samariter|barmherzigem Samariter|barmherzige Samariter|Samariter;Good Samaritan;милосердный самарянин;سامری نیکو;;3;3;2;
C144;C;hart;0;Verlorener Sohn;verlorenen Sohn|verlorener Sohn|verlorenes Sohn|verlorenem Sohn|verlorene Sohn;Prodigal Son;блудный сын;پسر گمشده;;3;3;2;
C145;C;hart;1;Zungenrede;in Zungen reden|Zungenrede;speaking in tongues;говорение на языках;سخن گفتن به زبان‌ها;سُخَن گُفتَن بِه زبانها;3;3;3;
C146;C;hart;1;Märtyrer;Martyrium|Märtyrer;martyr;мученик;شهید;شَهید;3;3;3;WARNUNG FA: shahid ist islamisch stark besetzt (Gefallener im Glaubenskampf). Alternative dringend pruefen.
C147;C;hart;0;Gerechtigkeit;Gerechtigkeit|gerecht;righteousness;праведность;پارسایی;;3;3;2;FALLSTRICK RU: nicht spravedlivost, das ist juristische Fairness.
C148;C;hart;1;Gottlosigkeit;Gottlosigkeit|die Gottlosen|gottlos;wickedness;нечестие;بی خدایی;بی خُدایی;3;3;3;Gegenbegriff zu Gerechtigkeit.
C149;C;hart;0;Heiligkeit;Heiligkeit;holiness;святость;قدوسیت;;3;3;2;Eigenschaft Gottes. Abgrenzen von Heiligung als Prozess.
C150;C;hart;1;Allmacht;der Allmächtige|allmächtig|Allmacht;almighty;Вседержитель;قادر مطلق;;3;3;2;RU: Vsederzhitel ist der biblische Gottestitel.
C151;C;weich;0;Ehre;ehren|Ehre;honor;честь;احترام;;3;3;2;WEICH: kollidiert semantisch mit Herrlichkeit.
C152;C;hart;0;Treue;Treue|treu;faithfulness;верность;وفاداری;;3;3;2;
C153;C;hart;0;Wahrheit;Wahrheit;truth;истина;حقیقت;;3;3;3;RU: istina theologische Wahrheit, pravda eher Richtigkeit und Gerechtigkeit.
C154;C;hart;0;Weisheit;Weisheit|weise;wisdom;мудрость;حکمت;;3;3;3;
C155;C;hart;0;Knecht;Gottesknecht|Knechte|Knecht;servant;раб;بنده;;3;3;2;RU rab ist der biblische Terminus (rab Bozhiy), sluga profan.
C156;C;hart;1;Erstgeburt;Erstgeborener|Erstgeburt;firstborn;первенец;نخست‌زاده;;3;3;2;
C157;C;hart;0;Wüste;Wüste;wilderness;пустыня;بیابان;;3;3;3;EN: wilderness, nicht desert, in biblischen Kontexten.
C158;C;hart;1;Manna;Manna;manna;манна;منّا;;3;3;2;
C159;C;hart;1;Götzendienst;Götzendienst|Götzen|Götze;idolatry;идолопоклонство;بت‌پرستی;;3;3;2;
C160;C;hart;0;Aufnahme in die Gemeinde;Aufnahmen in die Gemeinde|Aufnahmer in die Gemeinde|Aufnahmes in die Gemeinde|Aufnahmem in die Gemeinde|Aufnahme in die Gemeinde;baptism into membership;принятие в члены церкви;پذیرش در کلیسا;پَذیرِش دَر کِلیسا;2;3;3;
D001;D;hart;0;Adventgemeinde;Adventgemeinde|adventistisch|Adventisten;Seventh-day Adventist Church;Церковь адвентистов седьмого дня;کلیسای ادونتیست روز هفتم;;3;3;2;
D002;D;hart;1;Siebenten-Tags-Adventist;Siebenten-Tags-Adventist|STA;Seventh-day Adventist;адвентист седьмого дня;ادونتیست روز هفتم;;3;3;2;
D003;D;hart;1;Sabbatschule;Sabbatschule;Sabbath School;субботняя школа;مدرسه سبت;مَدرِسه سَبَّت;3;3;3;
D004;D;hart;0;Gottesdienst;Gottesdienste|Gottesdienst;worship service;богослужение;عبادت;;3;3;2;
D005;D;hart;1;Himmlisches Heiligtum;himmlischen Heiligtum|himmlischer Heiligtum|himmlisches Heiligtum|himmlischem Heiligtum|himmlische Heiligtum|Heiligtumslehre;heavenly sanctuary;небесное святилище;قدس آسمانی;قُدس آسِمانی;3;3;3;Kernlehre. FA muss geprueft werden.
D006;D;hart;1;Untersuchungsgericht;untersuchenden Gericht|untersuchender Gericht|untersuchendes Gericht|untersuchendem Gericht|untersuchende Gericht|Untersuchungsgericht;investigative judgment;следственный суд;داوری تحقیقی;داوَریِ تَحقیقی;3;3;3;Zentrale adventistische Lehre ohne selbstverstaendliche persische Entsprechung.
D007;D;hart;1;Vorabschließendes Gericht;vorabschließenden Gericht|vorabschließender Gericht|vorabschließendes Gericht|vorabschließendem Gericht|vorabschließende Gericht|Voruntersuchungsgericht;pre-advent judgment;предадвентный суд;داوری پیش از آمدن مسیح;داوَری پیش اَز آمَدنِ مَسیح;2;2;3;Neuere Bezeichnung fuer dieselbe Lehre.
D008;D;hart;0;Großer Kampf;Kampf zwischen Christus und Satan|großen Kampf|großer Kampf|großes Kampf|großem Kampf|große Kampf;great controversy;великая борьба;نبرد عظیم;نَبَردِ عَظیم;3;3;3;Auch Buchtitel von E. G. White.
D009;D;hart;1;Geist der Prophetie;Geist der Prophetie;Spirit of Prophecy;дух пророчества;روح نبوت;;3;3;2;
D010;D;hart;1;Ellen G. White;Ellen G. White|Ellen White|E. G. White;Ellen G. White;Эллен Уайт;الن جی وایت;;3;3;2;Eigenname. Nicht uebersetzen, nur transliterieren.
D011;D;hart;0;Zustand der Toten;Zustand der Toten;state of the dead;состояние мёртвых;وضعیت مردگان;وَضعیَتِ مُردِگان;3;3;3;
D012;D;hart;1;Seelenschlaf;Seelenschlaf;soul sleep;сон души;خواب مرگ;خوابِ مَرگ;3;3;3;
D013;D;hart;0;Unsterblichkeit der Seele;Unsterblichkeit der Seele;immortality of the soul;бессмертие души;جاودانگی روح;;3;3;2;Meist in Ablehnung gebraucht.
D014;D;hart;1;Dreiengelsbotschaft;Botschaft der drei Engel|Dreiengelsbotschaft;three angels' messages;весть трёх ангелов;پیام سه فرشته;پَیامِ سِه فِرِشتِه;3;3;3;
D015;D;hart;1;Übrige;die Übrigen|Überrest;remnant;остаток;بازماندگان;بازماندِگان;3;3;3;DE uneinheitlich. Klaeren, welche Form die Gemeinde nutzt.
D016;D;hart;1;Malzeichen des Tieres;Malzeichen des Tieres|Zeichen des Tieres;mark of the beast;начертание зверя;نشان وحش;نِشانِ وَحش;3;3;3;
D017;D;hart;0;Siegel Gottes;Siegel Gottes;seal of God;печать Божья;مهر خدا;;3;3;2;
D018;D;hart;0;Babylon;Babylon;Babylon;Вавилон;بابل;;3;3;3;
D019;D;hart;1;Sonntagsgesetz;Sonntagsgesetz;Sunday law;воскресный закон;قانون یکشنبه;قانون یِکشَنبِه;3;3;3;
D020;D;hart;1;Gnadenzeit;Gnadenzeit|Gnadentür;probation;время благодати;زمان فیض;زَمانِ فِیض;2;2;3;EN Fachterminus ist probation, nicht time of grace.
D021;D;hart;1;Große Enttäuschung;großen Enttäuschung|großer Enttäuschung|großes Enttäuschung|großem Enttäuschung|große Enttäuschung;Great Disappointment;Великое разочарование;ناامیدی بزرگ;ناأُمیدی بُزُرگ;3;3;3;Bezug 1844.
D022;D;hart;0;Zehnter;Zehnter|Zehnten;tithe;десятина;ده‌یک;;3;3;2;
D023;D;weich;0;Gaben;Gaben und Opfer|Opfergaben;offerings;пожертвования;هدایا;;3;3;2;WEICH: Gaben auch als Geistesgaben oder Geschenke.
D024;D;hart;1;Gesundheitsbotschaft;Gesundheitsbotschaft;health message;весть о здоровье;پیام سلامتی;پَیامِ سَلامَتی;3;3;3;
D025;D;hart;1;Gesundheitsreform;Gesundheitsreform;health reform;санитарная реформа;اصلاح سلامتی;اِصلاحِ سَلامَتی;3;2;3;RU pruefen.
D026;D;hart;0;Ältester;Gemeindeältester|Ältester|Älteste;elder;пресвитер;مشایخ;مَشایخ;3;3;3;RU: presviter adventistisch, starets ist orthodox. FA mashayekh ist Plural, Singular pruefen.
D027;D;hart;1;Diakon;Diakonisse|Diakonin|Diakon;deacon;диакон;شماس;;3;3;2;
D028;D;weich;0;Prediger;der Prediger|Pastor;pastor;пастор;شبان;;3;3;2;WEICH: kollidiert mit dem Bibelbuch Prediger (A021).
D029;D;hart;0;Gemeindeglied;Gemeindeglieder|Gemeindeglied;church member;член церкви;عضو کلیسا;;3;3;2;
D030;D;hart;0;Vereinigung;Vereinigung;conference;конференция;اتحاد;اِتِحاد;3;3;3;Kirchenstrukturbegriff, nicht die Alltagsbedeutung. Kritisch fuer MT.
D031;D;hart;0;Verband;der Verband|Union;union;унион;اتحادیه;اِتِحادیه;3;3;3;Kirchenstrukturbegriff. WEICH-Kandidat, da Verband auch medizinisch.
D032;D;hart;1;Generalkonferenz;Generalkonferenz;General Conference;Генеральная конференция;کنفرانس عمومی;;3;3;2;
D033;D;hart;1;Gemeindehandbuch;Gemeindehandbuch;Church Manual;Церковное руководство;کتاب راهنمای کلیسا;کِتابِ راهنَمایِ کِلیسا;3;3;3;
D034;D;hart;1;Glaubenspunkte;Glaubensüberzeugungen|Glaubenspunkte;fundamental beliefs;основы вероучения;اعتقادات بنیادین;اِعتِقاداتِ بُنیادین;3;3;3;
D035;D;hart;1;Kindersegnung;Segnung von Kindern|Kindersegnung;child dedication;посвящение детей;تقدیس کودکان;تَقدیسِ کودَکان;3;3;3;EN Fachterminus ist dedication, nicht blessing.
D036;D;hart;1;Schlachter 2000;Schlachten 2000|Schlachter 2000|Schlachtes 2000|Schlachtem 2000|Schlachte 2000|Schlachter;Schlachter 2000;Шлахтер 2000;ترجمه شلاختر;تَرجُمِه شلاختِر;3;2;3;Eigenname der Uebersetzung. Nicht uebersetzen, nur transliterieren.
D037;D;hart;0;Erweckung und Reformation;Erweckung und Reformation;revival and reformation;пробуждение и реформация;بیداری و اصلاح;بیداری وَ اِصلاح;3;3;3;Feste adventistische Wendung.
D038;D;hart;1;Asasel;Asasel-Bock|Asasel;Azazel;Азазель;عزازیل;;3;3;2;Kern der Heiligtumstypologie.
D039;D;hart;1;Adventbewegung;Adventbewegung;Advent movement;адвентистское движение;جنبش ادونتیست;جُنبِشِ اَدوِنتیست;3;3;3;
D040;D;hart;1;Milleriten;William Miller|Milleriten;Millerites;миллериты;میلریان;میلِریان;3;3;3;
D041;D;hart;0;Bibelstunde;Bibelgespräch|Bibelstunde;Bible study;библейский урок;مطالعه کتاب‌مقدس;;3;3;2;
D042;D;hart;1;Hauskreis;Kleingruppe|Hauskreis;small group;малая группа;گروه خانگی;گُروهِ خانِگی;3;3;3;
D043;D;hart;1;Rüsttag;Vorbereitungstag|Rüsttag;preparation day;день приготовления;روز آمادگی;روزِ آمادِگی;3;3;3;Der Freitag. Adventistisch gaengig.
D044;D;hart;1;Sabbatanfang;Sabbatanfang|Sabbatbeginn;beginning of the Sabbath;начало субботы;آغاز سبت;آغازِ سَبَّت;2;3;3;
D045;D;hart;1;Andacht;Morgenandacht|Andacht;devotional;духовное размышление;تفکر روحانی;تَفَکُّرِ روحانی;2;2;3;Kein sauberer Standardterminus in RU/FA. Pruefen.
D046;D;hart;1;Pfadfinder;Pfadfinder|CPA;Pathfinders;следопыты;پیشاهنگان;پیشاهَنگان;3;3;3;Adventistische Jugendorganisation, nicht Scouts allgemein.
D047;D;hart;1;Schriftprinzip;allein die Schrift|Schriftprinzip|sola scriptura;sola scriptura;только Писание;اصل کتاب مقدس;اَصلِ کِتابِ مُقَدَّس;3;3;3;
D048;D;hart;1;Gemeindeaufbau;Gemeindeaufbau;church growth;созидание церкви;بنای کلیسا;بَنایِ کِلیسا;2;2;3;
D049;D;hart;1;Missionsbericht;Missionsbericht;mission report;миссионерский отчёт;گزارش مأموریت;گُزارِشِ ماموریَت;3;2;3;
