id;block;typ;stt;de;suchvarianten;en;ru;fa;fa_vokal;k_en;k_ru;k_fa;anmerkung;es;k_es;pt;k_pt;hr;k_hr;fr;k_fr
C071;C;hart;0;Vorbild;Vorbild und Erfüllung|typologisch|Typus;type and antitype;прообраз;الگو;اُلگو;2;3;3;Fachbegriff der Typologie, nicht die Alltagsbedeutung Vorbild.;tipo y antitipo;3;tipo e antitipo;3;tip i antitip;2;type et antitype;3
C072;C;hart;0;Gesetz;Gesetzes|Gesetz;law;закон;شریعت;شَریعَت;3;3;3;FA: shariat ist islamisch stark besetzt. Alternative qanun pruefen.;ley;3;lei;3;zakon;3;loi;3
C073;C;hart;0;Zehn Gebote;Zehn Gebote|Dekalog;Ten Commandments;Десять заповедей;ده فرمان;;3;3;3;;Diez Mandamientos;3;Dez Mandamentos;3;Deset zapovijedi;3;Dix Commandements;3
C074;C;hart;0;Gebot;Gebote|Gebot;commandment;заповедь;فرمان;;3;3;3;;mandamiento;3;mandamento;3;zapovijed;3;commandement;3
C075;C;hart;0;Gehorsam;gehorchen|Gehorsam;obedience;послушание;اطاعت;;3;3;3;;obediencia;3;obediência;3;poslušnost;3;obéissance;3
C076;C;weich;0;Werke;Werkgerechtigkeit|gute Werke|Werke;works;дела;اعمال;;3;3;2;WEICH: Werke auch als Fabrik oder Kunstwerk.;obras;3;obras;3;dela;3;œuvres;3
C077;C;weich;0;Sabbat;Sabbats|Sabbat;Sabbath;суббота;روز سبت;;3;3;2;WEICH: RU subbota ist zugleich der Wochentag Samstag. Kontext entscheidet.;Sábado;3;Sábado;3;subota;3;sabbat;3
C078;C;hart;0;Ruhetag;Ruhetag;day of rest;день покоя;روز استراحت;;3;3;2;;día de reposo;3;dia de descanso;3;dan pokoja;3;jour de repos;3
C079;C;weich;0;Zeugnis;bezeugen|Zeugnis|Zeuge;testimony;свидетельство;شهادت;;3;3;3;WEICH: Zeugnis auch als Schulzeugnis.;testimonio;3;testemunho;3;svjedočanstvo;3;témoignage;3
C080;C;hart;0;Mission;missionarisch|Mission;mission;миссия;مأموریت;;3;3;2;;misión;3;missão;3;misija;3;mission;3
C081;C;hart;0;Verkündigung;Verkündigung|verkündigen;proclamation;проповедь;موعظه;;3;3;3;;proclamación;3;proclamação;3;proglasa;2;annonce;3
C082;C;hart;1;Seelsorge;seelsorgerlich|Seelsorge;pastoral care;душепопечение;مراقبت شبانی;مُراقِبَتِ شَبانی;3;2;3;RU pruefen, dushepopechenie ist teils orthodox konnotiert.;pastoral;3;pastoral;3;dušbriga;2;soins pastoraux;3
C083;C;weich;0;Gemeinschaft;Gemeinschaft;fellowship;общение;مشارکت;;3;3;2;;comunión;3;comunhão;3;zajedništvo;2;fraternité;3
C084;C;hart;0;Demut;demütig|Demut;humility;смирение;فروتنی;;3;3;3;;humildad;3;humildade;3;ponižnost;3;humilité;3
C085;C;hart;0;Sanftmut;sanftmütig|Sanftmut;meekness;кротость;ملایمت;;3;3;2;;mansedumbre;3;mansidão;3;smirenje;2;douceur;3
C086;C;hart;1;Langmut;langmütig|Langmut;longsuffering;долготерпение;بردباری;;3;3;2;;paciencia;3;paciência;3;strpljenje;3;patience;3
C087;C;hart;0;Versuchung;versucht werden|Versuchung;temptation;искушение;وسوسه;;3;3;3;;tentación;3;tentação;3;iskušenje;2;tentation;3
C088;C;hart;1;Anfechtung;angefochten|Anfechtung;trial;испытание;آزمایش;;2;3;2;EN: trial oder temptation je nach Kontext. Kein sauberes Aequivalent.;prueba;3;provação;3;iskušenje;2;épreuve;3
C089;C;hart;0;Leiden;Leiden;suffering;страдание;رنج;;3;3;3;;sufrimiento;3;sofrimento;3;patnja;2;souffrance;3
C090;C;hart;0;Trost;trösten|Tröster|Trost;comfort;утешение;تسلی;;3;3;2;Troester als Bezeichnung des Heiligen Geistes (Paraklet) gesondert beachten.;consuelo;3;consolo;3;utjeha;2;réconfort;3
C091;C;weich;0;Frieden;Frieden|Friede;peace;мир;آرامش;;3;3;3;FALLSTRICK RU: mir heisst zugleich Welt. Kontext entscheidet.;paz;3;paz;3;mir;2;paix;3
C092;C;hart;0;Freude;sich freuen|Freude;joy;радость;شادی;;3;3;3;;gozo;3;alegria;3;radost;2;joie;3
C093;C;hart;0;Bekenntnis;Bekenntnis|bekennen;confession;исповедание;اعتراف;;3;3;2;;confesión;3;confissão;3;ispovijest;2;confession;3
C094;C;hart;0;Gewissen;Gewissen;conscience;совесть;وجدان;;3;3;3;;conciencia;3;consciência;3;savjest;2;conscience;3
C095;C;weich;0;Herz;Herzen|Herz;heart;сердце;دل;;3;3;3;Biblisch Sitz des Willens, nicht nur des Gefuehls.;corazón;3;coração;3;srce;3;cœur;3
C096;C;hart;0;Gleichnis;Gleichnisse|Gleichnis;parable;притча;مَثَل;;3;3;2;RU pritcha, nicht sravnenie. Kollidiert mit dem Buchnamen Sprueche.;parábola;3;parábola;3;parabola;3;parabole;3
C097;C;hart;1;Bergpredigt;Bergpredigt;Sermon on the Mount;Нагорная проповедь;موعظه سر کوه;;3;3;2;;Sermón del Monte;3;Sermão no Monte;3;Progovor na gori;3;Sermon sur la montagne;3
C098;C;hart;0;Menschensohn;Menschensohn;Son of Man;Сын Человеческий;پسر انسان;;3;3;2;;Hijo del Hombre;3;Filho do Homem;3;Sinovi čoveka;3;Fils de l'homme;3
C099;C;hart;0;Sohn Gottes;Sohn Gottes|Gottessohn;Son of God;Сын Божий;پسر خدا;;3;3;3;;Hijo de Dios;3;Filho de Deus;3;Sin Božji;3;Fils de Dieu;3
C100;C;hart;0;Messias;messianisch|Messias;Messiah;Мессия;مسیح موعود;مَسیح موعود;3;3;3;FA: masih allein heisst bereits Christus. Moud praezisiert den erwarteten Messias.;Mesías;3;Messias;3;Mesija;3;Messie;3
C101;C;hart;0;Christus;Christus|Christi;Christ;Христос;مسیح;;3;3;3;;Cristo;3;Cristo;3;Kristo;3;Christ;3
C102;C;weich;0;Herr;dem Herrn|des Herrn|der Herr;the Lord;Господь;خداوند;;3;3;3;FALLSTRICK RU: Gospod (Gott) vs. gospodin (Anrede Herr Mueller). Verwechslung ist peinlich.;el Señor;3;o Senhor;3;Gospod;3;le Seigneur;3
C103;C;hart;1;Lamm Gottes;Lamm Gottes;Lamb of God;Агнец Божий;بره خدا;;3;3;2;RU: Agnets liturgisch, nicht yagnenok.;Cordero de Dios;3;Cordeiro de Deus;3;Janje Božji;3;Agneau de Dieu;3
C104;C;weich;0;Herrlichkeit;verherrlichen|Herrlichkeit;glory;слава;جلال;;3;3;2;RU slava zugleich Ruhm.;Gloria;3;Glória;3;Slava;3;gloire;3
C105;C;weich;0;Fleisch;fleischlich|Fleisch;flesh;плоть;جسم;;3;3;2;FALLSTRICK RU: nicht myaso. Theologisch sarx, nicht Nahrungsmittel. Weich, weil echtes Fleisch vorkommen kann.;Carne;3;Carne;3;Tijelo;2;chair;3
C106;C;weich;0;Geist;der Geist|geistlich;spirit;дух;روح;;3;3;3;WEICH: Geist auch als Verstand oder Gespenst. Siehe Heiliger Geist.;Espíritu;3;Espírito;3;Duh;3;Esprit;3
C107;C;hart;0;Seele;Seelen|Seele;soul;душа;جان;;3;3;2;Adventistisch zentral wegen Ganzheitlichkeit des Menschen.;Alma;3;Alma;3;Duša;3;âme;3
C108;C;hart;0;Ebenbild Gottes;Ebenbild Gottes|Bild Gottes;image of God;образ Божий;صورت خدا;;3;3;2;;Imagen de Dios;3;Imagem de Deus;3;Slika Božja;3;image de Dieu;3
C109;C;hart;0;Wort Gottes;Wort Gottes;Word of God;Слово Божье;کلام خدا;;3;3;3;;Palabra de Dios;3;Palavra de Deus;3;Riječ Božja;3;Parole de Dieu;3
C110;C;hart;0;Schöpfung;Schöpfung;creation;творение;آفرینش;;3;3;2;RU tvorenie theologisch, sozdanie technisch.;Creación;3;Criação;3;Stvaranje;3;création;3
C111;C;hart;0;Schöpfer;Schöpfer;Creator;Творец;آفریدگار;;3;3;2;;Creador;3;Criador;3;Stvoritelj;2;Créateur;3
C112;C;hart;0;Paradies;Paradies;paradise;рай;بهشت;;3;3;3;;paraíso;3;paraíso;3;raj;2;paradis;3
C113;C;hart;1;Sintflut;Sintflut;the Flood;потоп;طوفان نوح;;3;3;2;;el Diluvio;3;o Dilúvio;3;potop;2;le Déluge;3
C114;C;hart;0;Wiedergeburt;wiedergeboren|Wiedergeburt;new birth;новое рождение;تولد تازه;;3;3;2;Nicht mit Reinkarnation verwechseln lassen.;nuevo nacimiento;3;novo nascimento;3;novo rođenje;2;nouvelle naissance;3
C115;C;hart;0;Nächstenliebe;Nächstenliebe|der Nächste;love for one's neighbor;любовь к ближнему;محبت به همسایه;;3;3;2;;amor al prójimo;3;amor ao próximo;3;ljubav prema bližnjemu;2;amour du prochain;3
C116;C;hart;1;Feindesliebe;Feindesliebe;love for enemies;любовь к врагам;محبت به دشمنان;;3;3;2;;amor a los enemigos;3;amor aos inimigos;3;ljubav prema neprijateljima;2;amour des ennemis;3
C117;C;hart;1;Gottesfurcht;Ehrfurcht vor Gott|Gottesfurcht;fear of God;страх Божий;ترس خدا;;3;3;2;Ehrfurcht, nicht Angst.;temor de Dios;3;temor a Deus;3;strah Božji;2;crainte de Dieu;3
C118;C;hart;1;Erweckung;Erweckung;revival;пробуждение;بیداری روحانی;بیداریِ روحانی;3;3;3;;avivamiento;3;avivamento;3;probudljenje;2;réveil;3
C119;C;hart;1;Geistesgaben;Geistesgaben|Gnadengaben|Charismen;spiritual gifts;духовные дары;عطایای روحانی;عَطایایِ روحانی;3;3;3;;dones espirituales;3;dons espirituais;3;duhovne darove;2;dons spirituels;3
C120;C;hart;0;Heiden;Heidenvölker|die Völker|Heiden;Gentiles;язычники;امت‌ها;اُمَّت ها;3;3;3;Bei Paulus zentral. EN Gentiles, nicht heathens.;gentiles;3;gentios;3;pagani;2;les non-juifs;3
C121;C;hart;1;Pharisäer;Pharisäer;Pharisees;фарисеи;فریسیان;;3;3;2;;fariseos;3;fariseus;3;fariseji;3;pharisiens;3
C122;C;hart;1;Sadduzäer;Sadduzäer;Sadducees;саддукеи;صدوقیان;صَدوّقیان;3;3;3;;saduceos;3;saduceus;3;sadukeji;3;sadducéens;3
C123;C;hart;1;Schriftgelehrte;Schriftgelehrter|Schriftgelehrte;scribes;книжники;کاتبان;;3;3;2;;escribas;3;escribas;3;pisari;2;scribes;3
C124;C;hart;1;Zöllner;Zöllner;tax collector;мытарь;باجگیر;;3;3;2;FALLSTRICK RU: mytar ist biblisch, sborshchik nalogov klingt nach Finanzamt.;recaudador de impuestos;3;cobrador de impostos;3;porezničar;2;collecteurs d'impôts;3
C125;C;hart;1;Sündenbock;Sündenbock;scapegoat;козёл отпущения;بز طلیقه;بُز ظَلیقه;3;3;3;Adventistisch relevant wegen Asasel und Heiligtumslehre.;chivo expiatorio;3;bode expiatória;3;kozaci žrtva;2;bouc émissaire;3
C126;C;hart;1;Passa;Passafest|Passah|Passa;Passover;Пасха;عید فصح;;3;2;2;FALLSTRICK RU: Paskha heisst zugleich Ostern.;Pascua;3;Páscoa;3;Pascha;3;Pâque;3
C127;C;hart;1;Laubhüttenfest;Laubhüttenfest|Sukkot;Feast of Tabernacles;праздник кущей;عید خیمه‌ها;عیدِ خِیمِه ها;3;3;3;;Fiesta de los Tabernáculos;3;Festa dos Tabernáculos;3;Blagovanje u šatorima;2;Fête des Tabernacles;3
C128;C;hart;1;Versöhnungstag;Versöhnungstag|Jom Kippur;Day of Atonement;День очищения;روز کفاره;;3;2;2;Adventistisch zentral wegen der 1844-Typologie.;Día de Expiación;3;Dia do Perdão;3;Dan Velike pomirenja;2;Jour de l'Expiation;3
C129;C;hart;0;Tempel;Tempel;temple;храм;معبد;;3;3;3;;templo;3;templo;3;hram;3;temple;3
C130;C;hart;0;Synagoge;Synagoge;synagogue;синагога;کنیسه;;3;3;2;;sinagoga;3;sinagoga;3;sinagoga;3;synagogue;3
C131;C;hart;1;Hoher Rat;Hohen Rat|Hoher Rat|Hohes Rat|Hohem Rat|Synedrium|Hohe Rat;Sanhedrin;синедрион;شورای عالی یهود;شوُرایِ عالیِ یَهود;3;3;3;;Sinedrio;3;Sinedrio;3;Sinedrij;2;Sanhedrin;3
C132;C;hart;1;Tora;Tora;Torah;Тора;تورات;;3;3;3;;Torá;3;Torá;3;Tora;3;Torah;3
C133;C;hart;0;Beschneidung;Beschneidung|beschnitten;circumcision;обрезание;ختنه;;3;3;3;;circuncisión;3;circuncisão;3;obrezivanje;3;circoncision;3
C134;C;weich;0;Sauerteig;Sauerteig;leaven;закваска;خمیرمایه;;3;3;2;Meist bildlich gebraucht.;levadura;3;fermento;3;kvasnica;2;levain;3
C135;C;hart;0;Weinstock;Weinstock|Reben|Rebe;vine;виноградная лоза;تاک;;3;3;2;;vid;3;videira;3;groždje;2;vigne;3
C136;C;hart;0;Hirte;guten Hirte|guter Hirte|gutes Hirte|gutem Hirte|gute Hirte|Hirten|Hirte;shepherd;пастырь;شبان;;3;3;2;FALLSTRICK RU: pastyr geistlich, pastukh ist der Beruf.;pastor;3;pastor;3;pastir;2;berger;3
C137;C;weich;0;Bräutigam;Bräutigam|die Braut;bridegroom;жених;داماد;;3;3;2;Bildwort fuer Christus und Gemeinde.;esposo;3;noivo;3;mladenac;2;époux;3
C138;C;hart;1;Halleluja;Halleluja;Hallelujah;Аллилуйя;هللویاه;;3;3;2;;Aleluya;3;Aleluia;3;Aleluja;3;Alléluiah;3
C139;C;hart;1;Hosianna;Hosianna|Hosanna;Hosanna;Осанна;هوشیعانا;هوشیعانا;3;3;3;;Hosanna;3;Hosana;3;Hosana;3;Hosanna;3
C140;C;hart;0;Amen;Amen;Amen;Аминь;آمین;;3;3;3;;Amén;3;Amém;3;Amin;3;Amen;3
C141;C;hart;1;Immanuel;Immanuel|Emmanuel;Immanuel;Еммануил;عمانوئیل;;3;3;2;;Inmanuel;3;Emanuel;3;Imanuel;2;Emmanuel;3
C142;C;hart;1;Vaterunser;Vaterunser;Lord's Prayer;Отче наш;دعای ربانی;;3;3;2;;Padre Nuestro;3;Pai Nosso;3;Oče naš;2;Notre Père;3
C143;C;hart;1;Barmherziger Samariter;barmherzigen Samariter|barmherziger Samariter|barmherziges Samariter|barmherzigem Samariter|barmherzige Samariter|Samariter;Good Samaritan;милосердный самарянин;سامری نیکو;;3;3;2;;Buen Samaritano;3;Bom Samaritano;3;Dobri samaritanin;3;Bon Samaritain;3
C144;C;hart;0;Verlorener Sohn;verlorenen Sohn|verlorener Sohn|verlorenes Sohn|verlorenem Sohn|verlorene Sohn;Prodigal Son;блудный сын;پسر گمشده;;3;3;2;;Hijo Pródigo;3;Filho Pródigo;3;Bludni sin;3;Fils prodigue;3
C145;C;hart;1;Zungenrede;in Zungen reden|Zungenrede;speaking in tongues;говорение на языках;سخن گفتن به زبان‌ها;سُخَن گُفتَن بِه زبانها;3;3;3;;Hablar en lenguas;3;Falar em línguas;3;govoriti jezicima;3;parler en langues;3
C146;C;hart;1;Märtyrer;Martyrium|Märtyrer;martyr;мученик;شهید;شَهید;3;3;3;WARNUNG FA: shahid ist islamisch stark besetzt (Gefallener im Glaubenskampf). Alternative dringend pruefen.;Mártir;3;Mártir;3;Mučitelj;3;martyr;3
C147;C;hart;0;Gerechtigkeit;Gerechtigkeit|gerecht;righteousness;праведность;پارسایی;;3;3;2;FALLSTRICK RU: nicht spravedlivost, das ist juristische Fairness.;Justicia;3;Justiça;3;Pravednost;3;justice;3
C148;C;hart;1;Gottlosigkeit;Gottlosigkeit|die Gottlosen|gottlos;wickedness;нечестие;بی خدایی;بی خُدایی;3;3;3;Gegenbegriff zu Gerechtigkeit.;Impiedad;3;Impedadez;3;Bezbožje;3;méchanceté;3
C149;C;hart;0;Heiligkeit;Heiligkeit;holiness;святость;قدوسیت;;3;3;2;Eigenschaft Gottes. Abgrenzen von Heiligung als Prozess.;Santidad;3;Santidade;3;Svetost;3;sainteté;3
C150;C;hart;1;Allmacht;der Allmächtige|allmächtig|Allmacht;almighty;Вседержитель;قادر مطلق;;3;3;2;RU: Vsederzhitel ist der biblische Gottestitel.;Todopoderoso;3;Todo-poderoso;3;Svemogućnost;3;omnipotence;3
C151;C;weich;0;Ehre;ehren|Ehre;honor;честь;احترام;;3;3;2;WEICH: kollidiert semantisch mit Herrlichkeit.;honra;3;honra;3;čast;2;honneur;3
C152;C;hart;0;Treue;Treue|treu;faithfulness;верность;وفاداری;;3;3;2;;fidelidad;3;fidelidade;3;vjernost;2;fidélité;3
C153;C;hart;0;Wahrheit;Wahrheit;truth;истина;حقیقت;;3;3;3;RU: istina theologische Wahrheit, pravda eher Richtigkeit und Gerechtigkeit.;verdad;3;verdade;3;istina;2;vérité;3
C154;C;hart;0;Weisheit;Weisheit|weise;wisdom;мудрость;حکمت;;3;3;3;;sabiduría;3;sabedoria;3;mudrost;2;sagesse;3
C155;C;hart;0;Knecht;Gottesknecht|Knechte|Knecht;servant;раб;بنده;;3;3;2;RU rab ist der biblische Terminus (rab Bozhiy), sluga profan.;siervo;3;servo;3;sluga;2;serviteur;3
C156;C;hart;1;Erstgeburt;Erstgeborener|Erstgeburt;firstborn;первенец;نخست‌زاده;;3;3;2;;primogénito;3;primogênito;3;prvorođenac;2;premier-né;3
C157;C;hart;0;Wüste;Wüste;wilderness;пустыня;بیابان;;3;3;3;EN: wilderness, nicht desert, in biblischen Kontexten.;desierto;3;deserto;3;pustinja;2;désert;3
C158;C;hart;1;Manna;Manna;manna;манна;منّا;;3;3;2;;maná;3;maná;3;mana;2;manne;3
C159;C;hart;1;Götzendienst;Götzendienst|Götzen|Götze;idolatry;идолопоклонство;بت‌پرستی;;3;3;2;;idolatría;3;idolatria;3;idolatrija;2;idolâtrie;3
C160;C;hart;0;Aufnahme in die Gemeinde;Aufnahmen in die Gemeinde|Aufnahmer in die Gemeinde|Aufnahmes in die Gemeinde|Aufnahmem in die Gemeinde|Aufnahme in die Gemeinde;baptism into membership;принятие в члены церкви;پذیرش در کلیسا;پَذیرِش دَر کِلیسا;2;3;3;;admisión a la membresía;3;aceitação na membresia;3;prijem u članstvo;2;admission dans la membreship;3
D001;D;hart;0;Adventgemeinde;Adventgemeinde|adventistisch|Adventisten;Seventh-day Adventist Church;Церковь адвентистов седьмого дня;کلیسای ادونتیست روز هفتم;;3;3;2;;Iglesia Adventista del Séptimo Día;3;Igreja Adventista do Sétimo Dia;3;Crkva adventista sedmogog dana;3;Église Adventiste du Septième Jour;3
D002;D;hart;1;Siebenten-Tags-Adventist;Siebenten-Tags-Adventist|STA;Seventh-day Adventist;адвентист седьмого дня;ادونتیست روز هفتم;;3;3;2;;Adventista del Séptimo Día;3;Adventista do Sétimo Dia;3;Adventista sedmogog dana;3;Adventiste du Septième Jour;3
D003;D;hart;1;Sabbatschule;Sabbatschule;Sabbath School;субботняя школа;مدرسه سبت;مَدرِسه سَبَّت;3;3;3;;Escuela Sabática;3;Escola Sabatina;3;Subotna škola;3;École du Sabbat;3
D004;D;hart;0;Gottesdienst;Gottesdienste|Gottesdienst;worship service;богослужение;عبادت;;3;3;2;;servicio de adoración;3;culto;3;bogoslužje;3;culte;3
D005;D;hart;1;Himmlisches Heiligtum;himmlischen Heiligtum|himmlischer Heiligtum|himmlisches Heiligtum|himmlischem Heiligtum|himmlische Heiligtum|Heiligtumslehre;heavenly sanctuary;небесное святилище;قدس آسمانی;قُدس آسِمانی;3;3;3;Kernlehre. FA muss geprueft werden.;santuario celestial;3;santuário celestial;3;nebesko svetište;2;sanctuaire céleste;3
D006;D;hart;1;Untersuchungsgericht;untersuchenden Gericht|untersuchender Gericht|untersuchendes Gericht|untersuchendem Gericht|untersuchende Gericht|Untersuchungsgericht;investigative judgment;следственный суд;داوری تحقیقی;داوَریِ تَحقیقی;3;3;3;Zentrale adventistische Lehre ohne selbstverstaendliche persische Entsprechung.;juicio investigador;3;julgamento investigativo;3;istraživački sud;2;jugement investigateur;3
D007;D;hart;1;Vorabschließendes Gericht;vorabschließenden Gericht|vorabschließender Gericht|vorabschließendes Gericht|vorabschließendem Gericht|vorabschließende Gericht|Voruntersuchungsgericht;pre-advent judgment;предадвентный суд;داوری پیش از آمدن مسیح;داوَری پیش اَز آمَدنِ مَسیح;2;2;3;Neuere Bezeichnung fuer dieselbe Lehre.;juicio previo al adviento;2;julgamento pré-advento;2;sud prije došetica;1;jugement pré-advent;3
D008;D;hart;0;Großer Kampf;Kampf zwischen Christus und Satan|großen Kampf|großer Kampf|großes Kampf|großem Kampf|große Kampf;great controversy;великая борьба;نبرد عظیم;نَبَردِ عَظیم;3;3;3;Auch Buchtitel von E. G. White.;gran conflicto;3;grande conflito;3;veliki sukob;2;La Tragédie des Siècles;3
D009;D;hart;1;Geist der Prophetie;Geist der Prophetie;Spirit of Prophecy;дух пророчества;روح نبوت;;3;3;2;;Espíritu de Profecía;3;Espírito de Profecia;3;Duh proročanstva;2;Esprit de prophétie;3
D010;D;hart;1;Ellen G. White;Ellen G. White|Ellen White|E. G. White;Ellen G. White;Эллен Уайт;الن جی وایت;;3;3;2;Eigenname. Nicht uebersetzen, nur transliterieren.;Ellen G. White;3;Ellen G. White;3;Ellen G. White;3;Ellen G. White;3
D011;D;hart;0;Zustand der Toten;Zustand der Toten;state of the dead;состояние мёртвых;وضعیت مردگان;وَضعیَتِ مُردِگان;3;3;3;;estado de los muertos;3;estado dos mortos;3;stanje mrtvih;2;état des morts;3
D012;D;hart;1;Seelenschlaf;Seelenschlaf;soul sleep;сон души;خواب مرگ;خوابِ مَرگ;3;3;3;;sueño de la muerte;3;sono da morte;3;spavački san;1;sommeil de l'âme;3
D013;D;hart;0;Unsterblichkeit der Seele;Unsterblichkeit der Seele;immortality of the soul;бессмертие души;جاودانگی روح;;3;3;2;Meist in Ablehnung gebraucht.;inmortalidad del alma;3;imortalidade da alma;3;besmrtnost duše;2;immortalité de l'âme;3
D014;D;hart;1;Dreiengelsbotschaft;Botschaft der drei Engel|Dreiengelsbotschaft;three angels' messages;весть трёх ангелов;پیام سه فرشته;پَیامِ سِه فِرِشتِه;3;3;3;;mensaje de los tres ángeles;3;mensagem dos três anjos;3;poruka tri anđela;2;message des trois anges;3
D015;D;hart;1;Übrige;die Übrigen|Überrest;remnant;остаток;بازماندگان;بازماندِگان;3;3;3;DE uneinheitlich. Klaeren, welche Form die Gemeinde nutzt.;el remanente;3;o remanescente;3;preostanak;2;le reste;3
D016;D;hart;1;Malzeichen des Tieres;Malzeichen des Tieres|Zeichen des Tieres;mark of the beast;начертание зверя;نشان وحش;نِشانِ وَحش;3;3;3;;la marca de la bestia;3;a marca da besta;3;znak zveri;3;la marque de la bête;3
D017;D;hart;0;Siegel Gottes;Siegel Gottes;seal of God;печать Божья;مهر خدا;;3;3;2;;el sello de Dios;3;o selo de Deus;3;pečat Božji;3;le sceau de Dieu;3
D018;D;hart;0;Babylon;Babylon;Babylon;Вавилон;بابل;;3;3;3;;Babilon;3;Babil;3;Babilon;3;Babylone;3
D019;D;hart;1;Sonntagsgesetz;Sonntagsgesetz;Sunday law;воскресный закон;قانون یکشنبه;قانون یِکشَنبِه;3;3;3;;la ley del domingo;3;a lei do domingo;3;zakon o nedjelji;2;la loi du dimanche;3
D020;D;hart;1;Gnadenzeit;Gnadenzeit|Gnadentür;probation;время благодати;زمان فیض;زَمانِ فِیض;2;2;3;EN Fachterminus ist probation, nicht time of grace.;tiempo de gracia;2;tempo de graça;2;vrijeme milosti;2;période de grâce;3
D021;D;hart;1;Große Enttäuschung;großen Enttäuschung|großer Enttäuschung|großes Enttäuschung|großem Enttäuschung|große Enttäuschung;Great Disappointment;Великое разочарование;ناامیدی بزرگ;ناأُمیدی بُزُرگ;3;3;3;Bezug 1844.;la Gran Decepción;3;a Grande Decepção;3;Veliko razočaranje;2;la Grande Déception;3
D022;D;hart;0;Zehnter;Zehnter|Zehnten;tithe;десятина;ده‌یک;;3;3;2;;el diezmo;3;o dízimo;3;desetina;3;la dîme;3
D023;D;weich;0;Gaben;Gaben und Opfer|Opfergaben;offerings;пожертвования;هدایا;;3;3;2;WEICH: Gaben auch als Geistesgaben oder Geschenke.;ofrendas;3;ofertas;3;prilozi;2;offrandes;3
D024;D;hart;1;Gesundheitsbotschaft;Gesundheitsbotschaft;health message;весть о здоровье;پیام سلامتی;پَیامِ سَلامَتی;3;3;3;;mensaje de salud;3;mensagem de saúde;3;poruka o zdravlju;2;message de santé;3
D025;D;hart;1;Gesundheitsreform;Gesundheitsreform;health reform;санитарная реформа;اصلاح سلامتی;اِصلاحِ سَلامَتی;3;2;3;RU pruefen.;reforma de salud;3;reforma de saúde;3;zdravstvena reforma;2;réforme de santé;3
D026;D;hart;0;Ältester;Gemeindeältester|Ältester|Älteste;elder;пресвитер;مشایخ;مَشایخ;3;3;3;RU: presviter adventistisch, starets ist orthodox. FA mashayekh ist Plural, Singular pruefen.;anciano;3;ancião;3;starac;2;ancien;3
D027;D;hart;1;Diakon;Diakonisse|Diakonin|Diakon;deacon;диакон;شماس;;3;3;2;;diácono;3;diácono;3;diakon;2;diacre;3
D028;D;weich;0;Prediger;der Prediger|Pastor;pastor;пастор;شبان;;3;3;2;WEICH: kollidiert mit dem Bibelbuch Prediger (A021).;pastor;3;pastor;3;pastor;2;pasteur;3
D029;D;hart;0;Gemeindeglied;Gemeindeglieder|Gemeindeglied;church member;член церкви;عضو کلیسا;;3;3;2;;miembro de la iglesia;3;membro da igreja;3;član crkve;2;membre de l'église;3
D030;D;hart;0;Vereinigung;Vereinigung;conference;конференция;اتحاد;اِتِحاد;3;3;3;Kirchenstrukturbegriff, nicht die Alltagsbedeutung. Kritisch fuer MT.;confederación;2;confederação;2;konferencija;2;Fédération;3
D031;D;hart;0;Verband;der Verband|Union;union;унион;اتحادیه;اِتِحادیه;3;3;3;Kirchenstrukturbegriff. WEICH-Kandidat, da Verband auch medizinisch.;Unión;3;União;3;Unija;2;Union;3
D032;D;hart;1;Generalkonferenz;Generalkonferenz;General Conference;Генеральная конференция;کنفرانس عمومی;;3;3;2;;Asamblea General;3;Associação Geral;3;Opća Konferencija;2;Conférence Générale;3
D033;D;hart;1;Gemeindehandbuch;Gemeindehandbuch;Church Manual;Церковное руководство;کتاب راهنمای کلیسا;کِتابِ راهنَمایِ کِلیسا;3;3;3;;Manual de la Iglesia;3;Manual da Igreja;3;Priručnik Crkve;2;Manuel de l'Église;3
D034;D;hart;1;Glaubenspunkte;Glaubensüberzeugungen|Glaubenspunkte;fundamental beliefs;основы вероучения;اعتقادات بنیادین;اِعتِقاداتِ بُنیادین;3;3;3;;Creencias Fundamentales;3;Crenças Fundamentais;3;Osnovna vjerovanja;2;croyances fondamentales;3
D035;D;hart;1;Kindersegnung;Segnung von Kindern|Kindersegnung;child dedication;посвящение детей;تقدیس کودکان;تَقدیسِ کودَکان;3;3;3;EN Fachterminus ist dedication, nicht blessing.;Dedicación de Niños;3;Dedicação de Crianças;3;Posvećivanje djece;2;présentation d'enfants;3
D036;D;hart;1;Schlachter 2000;Schlachten 2000|Schlachter 2000|Schlachtes 2000|Schlachtem 2000|Schlachte 2000|Schlachter;Schlachter 2000;Шлахтер 2000;ترجمه شلاختر;تَرجُمِه شلاختِر;3;2;3;Eigenname der Uebersetzung. Nicht uebersetzen, nur transliterieren.;Schlachter 2000;3;Schlachter 2000;3;Schlachter 2000;3;Schlachter 2000;3
D037;D;hart;0;Erweckung und Reformation;Erweckung und Reformation;revival and reformation;пробуждение и реформация;بیداری و اصلاح;بیداری وَ اِصلاح;3;3;3;Feste adventistische Wendung.;Avivamiento y Reforma;3;Avivamento e Reforma;3;Probudljenje i reforma;2;réveil et réformation;3
