de;haeufigkeit;streuung;verdacht;prompt_rang;kapitel_anzahl;kapitel
Jahwe;60;0.38;;2;23;1. Mose 14|1. Mose 15|1. Mose 17|1. Samuel 7|2. Mose 12|2. Mose 13|2. Mose 17|2. Mose 24|2. Mose 3|2. Mose 6|2. Mose 7|4. Mose 22|5. Mose 28|Hiob 38|Jesaja 38|Joel 2|Maleachi 1|Nehemia 1|Psalmen 50|Psalmen 58|Psalmen 65|Psalmen 75|Sacharja 5
Sarah;60;0.15;;2;9;1. Mose 17|1. Mose 18|1. Mose 20|1. Mose 21|1. Mose 23|1. Mose 24|1. Mose 25|1. Mose 49|Jesaja 51
Rebekka;59;0.19;;2;11;1. Mose 23|1. Mose 24|1. Mose 25|1. Mose 27|1. Mose 28|1. Mose 29|1. Mose 35|1. Mose 37|1. Mose 49|Hohelied 8|Psalmen 112
Honig;59;0.51;;2;30;1. Mose 42|1. Mose 43|1. Samuel 14|2. Mose 13|2. Mose 3|2. Mose 33|2. Samuel 18|3. Mose 20|3. Mose 3|4. Mose 13|4. Mose 14|4. Mose 15|5. Mose 10|5. Mose 26|5. Mose 32|5. Mose 6|5. Mose 9|Hesekiel 16|Hesekiel 20|Hesekiel 27|Hesekiel 3|Hiob 20|Hohelied 4|Jeremia 32|Jeremia 41|Psalmen 119|Psalmen 82|Sprüche 24|Sprüche 4|Sprüche 6
Rama;57;0.28;;2;16;1. Samuel 1|1. Samuel 15|1. Samuel 16|1. Samuel 2|1. Samuel 20|1. Samuel 25|1. Samuel 28|1. Samuel 7|1. Samuel 9|Hesekiel 27|Hosea 4|Jeremia 31|Jeremia 39|Jesaja 11|Josua 19|Nehemia 11
Baschan;56;0.41;;2;23;1. Samuel 17|4. Mose 32|5. Mose 1|5. Mose 2|5. Mose 29|5. Mose 33|5. Mose 4|Hesekiel 27|Hesekiel 39|Jeremia 23|Jeremia 50|Jesaja 33|Josua 12|Josua 14|Josua 17|Josua 20|Josua 21|Josua 22|Josua 9|Nahum 1|Nehemia 9|Psalmen 68|Sacharja 11
Geruch;54;0.39;;2;21;1. Mose 27|1. Mose 9|2. Mose 29|3. Mose 1|3. Mose 23|3. Mose 26|3. Mose 3|3. Mose 4|3. Mose 6|3. Mose 8|3. Mose 9|4. Mose 14|4. Mose 15|4. Mose 19|4. Mose 28|4. Mose 31|Hesekiel 16|Hesekiel 21|Hesekiel 6|Hiob 42|Hosea 13
Amnon;54;0.07;;2;4;2. Samuel 12|2. Samuel 13|2. Samuel 14|2. Samuel 3
Jugend;53;0.6;;2;32;1. Mose 47|1. Mose 9|1. Samuel 12|2. Samuel 19|2. Samuel 4|4. Mose 11|Hesekiel 16|Hesekiel 23|Hesekiel 4|Hiob 13|Hiob 31|Hiob 33|Hiob 36|Hosea 2|Jeremia 15|Jeremia 23|Jeremia 3|Jeremia 31|Jeremia 32|Jesaja 48|Jesaja 54|Joel 1|Josua 1|Maleachi 2|Psalmen 110|Psalmen 128|Psalmen 144|Psalmen 69|Psalmen 88|Psalmen 89|Sacharja 13|Sprüche 4
Dass;53;0.85;ja;2;45;1. Mose 15|1. Mose 27|1. Mose 31|1. Mose 42|1. Samuel 18|1. Samuel 2|1. Samuel 25|1. Samuel 4|2. Mose 10|2. Mose 12|2. Mose 16|2. Mose 23|2. Mose 24|2. Mose 29|2. Mose 4|2. Mose 6|2. Mose 7|2. Samuel 13|2. Samuel 19|2. Samuel 4|2. Samuel 5|2. Samuel 7|4. Mose 17|4. Mose 20|5. Mose 1|5. Mose 32|Hesekiel 29|Hiob 20|Hiob 29|Hosea 13|Jeremia 19|Jeremia 3|Jesaja 35|Jesaja 38|Jesaja 40|Jesaja 46|Jesaja 48|Jesaja 49|Jesaja 66|Maleachi 1
Kaleb;52;0.25;;2;13;1. Samuel 29|1. Samuel 31|4. Mose 13|4. Mose 14|4. Mose 26|4. Mose 32|4. Mose 34|5. Mose 1|Jesaja 21|Josua 1|Josua 12|Josua 14|Josua 21
Jojakim;52;0.15;;2;8;Haggai 2|Jeremia 23|Jeremia 24|Jeremia 26|Jeremia 36|Jeremia 37|Jeremia 52|Nehemia 11
Adam;51;0.24;;2;12;1. Mose 2|1. Mose 3|1. Mose 4|1. Mose 49|1. Samuel 26|Hesekiel 27|Hiob 1|Hiob 31|Hosea 7|Maleachi 2|Psalmen 116|Psalmen 7
Purpur;51;0.33;;2;17;2. Mose 24|2. Mose 25|2. Mose 26|2. Mose 27|2. Mose 28|2. Mose 34|2. Mose 36|2. Mose 38|2. Mose 39|4. Mose 15|4. Mose 4|Hesekiel 23|Hesekiel 27|Hohelied 4|Hohelied 8|Jeremia 10|Sprüche 31
Aufgrund;50;0.88;ja;2;44;1. Mose 15|1. Mose 17|1. Mose 19|1. Mose 20|1. Mose 23|1. Mose 40|1. Mose 41|1. Mose 43|1. Samuel 12|1. Samuel 14|1. Samuel 2|1. Samuel 31|1. Samuel 9|2. Mose 19|2. Samuel 18|2. Samuel 24|3. Mose 3|5. Mose 1|5. Mose 7|Hesekiel 12|Hesekiel 33|Hesekiel 38|Hesekiel 4|Hesekiel 45|Hiob 40|Hiob 6|Hiob 8|Hosea 10|Jeremia 3|Jeremia 34|Jesaja 13|Jesaja 16|Jesaja 43|Jesaja 46|Josua 14|Nahum 1|Nehemia 9|Psalmen 118|Psalmen 13|Psalmen 18
Naphtali;50;0.36;;2;18;1. Mose 29|1. Mose 35|1. Mose 49|2. Mose 1|4. Mose 1|4. Mose 13|4. Mose 2|4. Mose 25|4. Mose 26|5. Mose 28|5. Mose 33|Hesekiel 48|Hosea 10|Jesaja 8|Josua 19|Josua 20|Josua 21|Psalmen 68
Silo;49;0.35;;2;17;1. Samuel 1|1. Samuel 14|1. Samuel 2|1. Samuel 4|5. Mose 12|Jeremia 1|Jeremia 26|Jeremia 41|Jeremia 6|Josua 17|Josua 19|Josua 20|Josua 21|Josua 22|Josua 24|Josua 9|Psalmen 79
Jeschua;48;0.15;;2;7;Haggai 1|Nehemia 11|Nehemia 3|Nehemia 9|Sacharja 3|Sacharja 5|Sacharja 6
Serubbabel;47;0.23;;2;11;Haggai 1|Haggai 2|Jeremia 23|Jeremia 30|Jesaja 21|Nehemia 11|Nehemia 3|Psalmen 128|Sacharja 3|Sacharja 5|Sacharja 6
Fürsorge;46;0.83;ja;2;38;1. Mose 30|1. Mose 8|1. Samuel 1|1. Samuel 2|1. Samuel 23|2. Mose 16|2. Mose 17|2. Mose 19|2. Samuel 21|3. Mose 23|4. Mose 31|5. Mose 32|Habakuk 1|Haggai 1|Hesekiel 12|Hesekiel 46|Hiob 29|Hosea 10|Jeremia 1|Jeremia 2|Jesaja 1|Jesaja 11|Jesaja 25|Jesaja 43|Psalmen 104|Psalmen 122|Psalmen 128|Psalmen 36|Psalmen 40|Psalmen 65|Psalmen 69|Psalmen 82|Psalmen 85|Psalmen 91|Psalmen 95|Sacharja 11|Sacharja 5|Sprüche 11
Sebulon;46;0.35;;2;16;1. Mose 30|1. Mose 35|1. Mose 48|1. Mose 8|2. Mose 1|4. Mose 1|4. Mose 13|4. Mose 25|5. Mose 28|5. Mose 33|Hesekiel 48|Jesaja 8|Josua 19|Josua 21|Josua 22|Psalmen 68
Beerscheba;45;0.49;;2;22;1. Mose 12|1. Mose 21|1. Mose 23|1. Mose 27|1. Mose 28|1. Mose 32|1. Mose 45|1. Samuel 14|1. Samuel 28|1. Samuel 4|1. Samuel 7|2. Mose 1|2. Samuel 11|2. Samuel 16|2. Samuel 24|2. Samuel 3|5. Mose 1|5. Mose 26|Josua 19|Nehemia 11|Psalmen 128|Sacharja 7
Gemeint;45;0.89;ja;2;40;1. Samuel 1|1. Samuel 10|1. Samuel 14|1. Samuel 18|1. Samuel 21|1. Samuel 26|1. Samuel 31|1. Samuel 6|1. Samuel 9|2. Samuel 10|2. Samuel 19|2. Samuel 20|2. Samuel 5|2. Samuel 8|5. Mose 10|5. Mose 13|5. Mose 26|5. Mose 28|5. Mose 29|Habakuk 1|Hiob 18|Hiob 2|Hiob 4|Hohelied 1|Jeremia 13|Jeremia 19|Jeremia 2|Jeremia 30|Jeremia 5|Joel 4|Nahum 2|Sacharja 5|Sacharja 6|Sprüche 1|Sprüche 11|Sprüche 16|Sprüche 18|Sprüche 21|Sprüche 23|Sprüche 7
Kyrus;45;0.36;;2;16;Habakuk 2|Haggai 1|Hesekiel 29|Jeremia 49|Jeremia 50|Jeremia 51|Jesaja 41|Jesaja 42|Jesaja 43|Jesaja 44|Jesaja 45|Jesaja 46|Jesaja 48|Jesaja 52|Sacharja 6|Sacharja 8
Linie;44;0.75;;2;33;1. Mose 28|1. Mose 35|1. Mose 48|1. Samuel 2|1. Samuel 4|2. Mose 20|2. Samuel 22|2. Samuel 8|3. Mose 14|3. Mose 9|4. Mose 34|4. Mose 5|5. Mose 1|Haggai 1|Haggai 2|Hesekiel 18|Hesekiel 20|Hesekiel 27|Hesekiel 4|Hohelied 6|Jeremia 21|Jeremia 23|Jeremia 30|Jeremia 52|Jesaja 11|Maleachi 2|Maleachi 3|Psalmen 106|Psalmen 72|Psalmen 79|Sacharja 13|Sacharja 14|Sacharja 9
Souveränität;44;0.82;ja;2;36;1. Mose 31|1. Mose 45|1. Mose 49|1. Mose 50|1. Samuel 16|1. Samuel 23|1. Samuel 4|2. Mose 19|2. Samuel 22|2. Samuel 24|5. Mose 10|5. Mose 13|5. Mose 32|Haggai 1|Hiob 13|Hiob 23|Hiob 42|Jeremia 10|Jesaja 30|Jesaja 42|Jona 1|Jona 3|Josua 8|Nehemia 2|Psalmen 1|Psalmen 105|Psalmen 112|Psalmen 128|Psalmen 133|Psalmen 147|Psalmen 28|Psalmen 58|Psalmen 62|Psalmen 91|Sacharja 13|Sprüche 16
Mizpa;44;0.2;;2;9;1. Mose 31|1. Samuel 10|1. Samuel 2|1. Samuel 7|Hosea 4|Jeremia 39|Jeremia 41|Josua 10|Nehemia 3
Leinen;44;0.36;;2;16;2. Mose 24|2. Mose 25|2. Mose 26|2. Mose 27|2. Mose 28|2. Mose 34|2. Mose 36|2. Mose 38|2. Mose 39|3. Mose 14|5. Mose 22|Hesekiel 16|Hesekiel 27|Hesekiel 40|Hesekiel 8|Sprüche 31
Obgleich;44;0.93;ja;2;41;1. Samuel 2|1. Samuel 23|2. Samuel 19|2. Samuel 2|2. Samuel 21|2. Samuel 24|4. Mose 20|5. Mose 31|5. Mose 4|Habakuk 1|Haggai 1|Hesekiel 10|Hesekiel 14|Hesekiel 29|Hesekiel 30|Hesekiel 47|Hiob 23|Hosea 10|Hosea 7|Jeremia 17|Jeremia 52|Jesaja 2|Jesaja 51|Jesaja 6|Jesaja 65|Joel 2|Maleachi 2|Nahum 2|Nehemia 12|Nehemia 4|Nehemia 6|Psalmen 1|Psalmen 106|Psalmen 16|Psalmen 58|Psalmen 68|Psalmen 85|Psalmen 91|Sacharja 1|Sacharja 6
Zadok;44;0.23;;2;10;1. Samuel 2|2. Samuel 15|2. Samuel 16|2. Samuel 19|2. Samuel 20|2. Samuel 8|Hesekiel 44|Nehemia 12|Nehemia 3|Nehemia 9
Getreide;43;0.7;;2;30;1. Mose 12|1. Mose 41|1. Mose 42|1. Mose 43|1. Mose 47|2. Mose 21|2. Mose 23|2. Mose 9|2. Samuel 18|2. Samuel 5|3. Mose 25|3. Mose 7|5. Mose 22|5. Mose 24|Haggai 1|Hesekiel 29|Hesekiel 4|Hosea 13|Jesaja 19|Jesaja 21|Jesaja 23|Jesaja 28|Jesaja 5|Josua 6|Nehemia 4|Nehemia 9|Psalmen 104|Psalmen 65|Psalmen 72|Sprüche 16
Damaskus;43;0.4;;2;17;1. Mose 14|1. Mose 15|2. Samuel 11|2. Samuel 8|4. Mose 20|Hesekiel 24|Hesekiel 27|Hesekiel 47|Hohelied 4|Hohelied 6|Hohelied 8|Jeremia 49|Jesaja 10|Jesaja 16|Jesaja 7|Maleachi 3|Sacharja 8
Asser;43;0.33;;2;14;1. Mose 29|1. Mose 35|1. Mose 49|2. Mose 1|4. Mose 1|4. Mose 13|4. Mose 2|4. Mose 25|5. Mose 28|5. Mose 33|Hesekiel 48|Josua 17|Josua 19|Josua 21
Tamar;43;0.23;;2;10;1. Mose 38|2. Samuel 12|2. Samuel 13|2. Samuel 14|2. Samuel 3|5. Mose 24|Hesekiel 47|Hesekiel 48|Hohelied 1|Hohelied 8
Ehebruch;43;0.53;;2;23;1. Mose 40|2. Mose 20|2. Samuel 11|2. Samuel 12|3. Mose 17|3. Mose 20|4. Mose 5|5. Mose 13|5. Mose 24|Hesekiel 23|Hiob 23|Hosea 10|Hosea 4|Jeremia 23|Jeremia 3|Jeremia 30|Jeremia 5|Jesaja 56|Maleachi 2|Maleachi 3|Sprüche 4|Sprüche 6|Sprüche 7
Balak;43;0.12;;2;5;4. Mose 22|4. Mose 23|Jesaja 2|Josua 24|Psalmen 106
Samaria;43;0.4;;2;17;Hesekiel 16|Hesekiel 23|Hesekiel 24|Hohelied 4|Hosea 10|Hosea 13|Hosea 7|Jeremia 23|Jeremia 41|Jesaja 10|Jesaja 37|Jesaja 42|Jesaja 7|Jona 1|Maleachi 3|Nehemia 2|Nehemia 4
Simeon;42;0.38;;2;16;1. Mose 29|1. Mose 34|1. Mose 35|1. Mose 42|1. Mose 48|2. Mose 1|2. Mose 6|4. Mose 1|4. Mose 13|4. Mose 25|5. Mose 26|5. Mose 33|Hesekiel 48|Jesaja 42|Josua 19|Josua 21
Elihu;42;0.12;;2;5;Hiob 31|Hiob 33|Hiob 36|Hiob 38|Hiob 4
Kain;41;0.1;;2;4;1. Mose 4|1. Mose 49|3. Mose 1|Josua 16
Hanna;41;0.12;;2;5;1. Samuel 1|1. Samuel 2|1. Samuel 7|1. Samuel 9|Sprüche 31
Nabal;41;0.1;;2;4;1. Samuel 2|1. Samuel 25|1. Samuel 28|1. Samuel 31
Räucherwerk;40;0.55;;2;22;1. Samuel 2|2. Mose 24|2. Mose 29|2. Mose 31|2. Mose 34|2. Mose 36|2. Mose 39|2. Mose 40|3. Mose 3|4. Mose 15|4. Mose 17|4. Mose 4|4. Mose 6|4. Mose 7|Habakuk 2|Hesekiel 16|Hesekiel 20|Hesekiel 23|Jesaja 1|Maleachi 1|Psalmen 140|Sprüche 26
Isai;40;0.1;;2;4;1. Samuel 15|1. Samuel 16|1. Samuel 17|Jesaja 11
Ischboseth;40;0.15;;2;6;1. Samuel 31|2. Samuel 1|2. Samuel 16|2. Samuel 2|2. Samuel 3|2. Samuel 4
Lämmer;39;0.49;;2;19;1. Mose 21|1. Mose 30|2. Mose 12|2. Mose 29|3. Mose 23|3. Mose 4|4. Mose 28|4. Mose 31|4. Mose 6|4. Mose 7|5. Mose 32|Hesekiel 39|Hesekiel 46|Hiob 31|Jeremia 51|Jesaja 1|Jesaja 35|Jesaja 40|Jesaja 5
Amalek;39;0.23;;2;9;1. Mose 35|1. Samuel 14|1. Samuel 15|1. Samuel 29|2. Mose 17|2. Samuel 8|5. Mose 24|Josua 8|Psalmen 82
Gerichte;39;0.74;;2;29;1. Mose 43|1. Mose 44|2. Mose 6|2. Mose 7|5. Mose 33|Hesekiel 14|Hesekiel 16|Hesekiel 24|Hesekiel 26|Hesekiel 36|Hesekiel 37|Hesekiel 4|Hesekiel 40|Hesekiel 8|Hiob 6|Hosea 7|Jeremia 46|Jesaja 16|Jesaja 23|Jesaja 27|Jesaja 3|Nahum 1|Psalmen 119|Psalmen 36|Psalmen 48|Psalmen 65|Psalmen 73|Psalmen 9|Psalmen 98
Gibeon;39;0.31;;2;12;2. Samuel 2|2. Samuel 24|2. Samuel 4|Jeremia 28|Jeremia 41|Jesaja 28|Josua 10|Josua 12|Josua 16|Josua 19|Josua 21|Josua 9
Feinmehl;38;0.37;;2;14;1. Mose 17|2. Mose 28|2. Mose 29|3. Mose 1|3. Mose 14|3. Mose 23|3. Mose 3|3. Mose 4|3. Mose 6|4. Mose 14|4. Mose 15|4. Mose 28|4. Mose 6|4. Mose 7
Abimelech;38;0.16;;2;6;1. Mose 20|1. Mose 21|1. Mose 25|1. Mose 27|1. Samuel 21|2. Samuel 12
Sacktuch;38;0.47;;2;18;1. Mose 37|2. Samuel 21|2. Samuel 4|Hesekiel 27|Hesekiel 6|Jeremia 3|Jeremia 48|Jeremia 6|Jesaja 14|Jesaja 21|Jesaja 33|Jesaja 37|Jesaja 51|Jesaja 58|Joel 1|Jona 3|Nehemia 9|Psalmen 69
Pinehas;38;0.34;;2;13;1. Samuel 1|1. Samuel 14|1. Samuel 2|1. Samuel 4|2. Mose 6|2. Samuel 8|4. Mose 25|4. Mose 31|Hesekiel 40|Josua 22|Josua 24|Maleachi 2|Psalmen 106
Elis;38;0.24;;2;9;1. Samuel 1|1. Samuel 14|1. Samuel 2|1. Samuel 21|1. Samuel 23|1. Samuel 31|1. Samuel 4|1. Samuel 7|Hesekiel 40
Achis;38;0.08;;2;3;1. Samuel 21|1. Samuel 28|1. Samuel 29
Eden;37;0.32;;2;12;1. Mose 14|1. Mose 2|1. Mose 3|1. Mose 4|Hesekiel 27|Hesekiel 29|Hesekiel 36|Hesekiel 47|Jesaja 51|Joel 2|Psalmen 116|Psalmen 45
Kadesch;37;0.43;;2;16;1. Mose 14|1. Mose 17|1. Mose 20|2. Mose 17|4. Mose 13|4. Mose 19|4. Mose 20|4. Mose 26|4. Mose 32|4. Mose 33|4. Mose 9|5. Mose 1|5. Mose 2|Hesekiel 47|Josua 14|Psalmen 28
Palästina;37;0.51;;2;19;1. Mose 14|1. Mose 15|1. Mose 24|2. Mose 15|5. Mose 2|Hesekiel 21|Hesekiel 29|Hesekiel 37|Hesekiel 45|Hesekiel 47|Jeremia 23|Jeremia 31|Joel 2|Josua 10|Josua 12|Maleachi 3|Sacharja 11|Sacharja 8|Sacharja 9
Midian;37;0.43;;2;16;1. Mose 24|1. Mose 37|1. Mose 49|2. Mose 1|2. Mose 17|2. Mose 19|2. Mose 3|2. Mose 4|3. Mose 9|4. Mose 22|4. Mose 31|5. Mose 31|Hiob 1|Jesaja 11|Jesaja 60|Psalmen 82
Gaben;37;0.62;;2;23;2. Mose 20|2. Mose 24|2. Mose 28|2. Mose 34|2. Mose 36|3. Mose 23|4. Mose 1|4. Mose 15|4. Mose 17|4. Mose 19|4. Mose 5|4. Mose 6|5. Mose 12|5. Mose 32|Hesekiel 20|Hesekiel 21|Maleachi 1|Nehemia 12|Psalmen 40|Psalmen 68|Psalmen 72|Psalmen 98|Sacharja 6
Sihon;37;0.27;;2;10;5. Mose 1|5. Mose 2|5. Mose 29|5. Mose 31|5. Mose 4|Jeremia 48|Josua 12|Josua 14|Josua 2|Josua 9
Mephiboset;37;0.19;;2;7;2. Samuel 10|2. Samuel 16|2. Samuel 19|2. Samuel 20|2. Samuel 21|2. Samuel 4|2. Samuel 8
Galiläa;36;0.75;;2;27;1. Mose 31|1. Samuel 10|1. Samuel 28|1. Samuel 31|2. Samuel 10|2. Samuel 14|2. Samuel 20|2. Samuel 24|2. Samuel 8|5. Mose 1|5. Mose 2|5. Mose 33|5. Mose 9|Hohelied 4|Hosea 10|Hosea 4|Jeremia 23|Jeremia 49|Jeremia 8|Jesaja 8|Jona 3|Josua 10|Josua 17|Josua 19|Josua 20|Josua 21|Sacharja 11
Hesbon;36;0.42;;2;15;2. Mose 1|4. Mose 32|5. Mose 1|5. Mose 2|5. Mose 29|5. Mose 4|Hohelied 4|Hohelied 6|Hohelied 8|Jeremia 48|Jesaja 14|Josua 12|Josua 14|Josua 22|Nehemia 9
Nathan;36;0.33;;2;12;1. Samuel 28|2. Samuel 12|2. Samuel 13|2. Samuel 14|2. Samuel 16|2. Samuel 5|2. Samuel 7|Haggai 1|Jesaja 38|Psalmen 50|Psalmen 89|Sacharja 13
Angesichts;35;0.89;ja;2;31;1. Mose 3|2. Mose 13|2. Mose 34|2. Mose 4|3. Mose 9|Hiob 13|Hiob 29|Hohelied 4|Jeremia 15|Jesaja 23|Jesaja 28|Jesaja 3|Jesaja 31|Jesaja 41|Jesaja 64|Jona 3|Psalmen 105|Psalmen 13|Psalmen 18|Psalmen 31|Psalmen 4|Psalmen 42|Psalmen 58|Psalmen 79|Psalmen 89|Psalmen 9|Psalmen 91|Sacharja 1|Sacharja 7|Sacharja 8|Sacharja 9
Baruch;35;0.23;;2;8;Jeremia 32|Jeremia 36|Jeremia 37|Jeremia 44|Jeremia 46|Jeremia 52|Nehemia 3|Nehemia 9
Kusch;34;0.47;;2;16;1. Mose 2|1. Mose 9|2. Samuel 16|2. Samuel 18|Hesekiel 29|Hesekiel 30|Hesekiel 37|Hiob 29|Jeremia 46|Jesaja 11|Jesaja 16|Jesaja 19|Jesaja 21|Jesaja 37|Jesaja 43|Psalmen 68
Gewalttat;34;0.56;;2;19;1. Mose 6|2. Samuel 21|2. Samuel 22|5. Mose 20|Habakuk 1|Habakuk 2|Hesekiel 12|Hiob 18|Jeremia 19|Jeremia 6|Jesaja 1|Jesaja 58|Jesaja 60|Nahum 2|Psalmen 18|Psalmen 7|Psalmen 73|Sprüche 10|Sprüche 13
Karmesin;34;0.41;;2;14;2. Mose 24|2. Mose 25|2. Mose 26|2. Mose 27|2. Mose 28|2. Mose 34|2. Mose 36|2. Mose 38|2. Mose 39|3. Mose 14|3. Mose 15|4. Mose 19|4. Mose 4|Jesaja 2
Hingabe;34;0.76;ja;2;26;2. Samuel 15|2. Samuel 21|3. Mose 3|5. Mose 13|5. Mose 26|5. Mose 29|5. Mose 6|Habakuk 3|Hesekiel 44|Hiob 1|Hohelied 4|Hosea 7|Jeremia 3|Jesaja 2|Jesaja 24|Jesaja 58|Josua 24|Maleachi 1|Nehemia 9|Psalmen 119|Psalmen 25|Psalmen 40|Psalmen 62|Psalmen 69|Sacharja 6|Sacharja 9
Obschon;34;0.97;ja;2;33;1. Samuel 1|1. Samuel 12|1. Samuel 16|1. Samuel 21|1. Samuel 31|1. Samuel 4|2. Samuel 11|2. Samuel 14|2. Samuel 3|2. Samuel 7|2. Samuel 8|5. Mose 13|5. Mose 22|5. Mose 28|5. Mose 31|5. Mose 4|5. Mose 6|Apostelgeschichte 9|Habakuk 2|Habakuk 3|Haggai 1|Hiob 15|Hiob 27|Hosea 10|Hosea 13|Jeremia 46|Jeremia 51|Jeremia 8|Joel 1|Maleachi 2|Sacharja 11|Sacharja 14|Sprüche 21
Goliath;34;0.24;;2;8;1. Samuel 12|1. Samuel 17|1. Samuel 2|1. Samuel 21|1. Samuel 28|2. Samuel 21|Josua 12|Sacharja 9
Abisai;34;0.32;;2;11;1. Samuel 26|2. Samuel 10|2. Samuel 11|2. Samuel 16|2. Samuel 18|2. Samuel 19|2. Samuel 2|2. Samuel 20|2. Samuel 21|2. Samuel 24|2. Samuel 4
Sarai;33;0.09;;2;3;1. Mose 12|1. Mose 15|1. Mose 17
Gads;33;0.3;;2;10;1. Mose 47|2. Samuel 2|2. Samuel 24|4. Mose 1|4. Mose 26|4. Mose 32|4. Mose 34|Hesekiel 48|Josua 14|Josua 22
Sanherib;33;0.21;;2;7;Jeremia 21|Jesaja 33|Jesaja 35|Jesaja 37|Jesaja 38|Nahum 1|Psalmen 75
Gedalja;33;0.12;;2;4;Jeremia 37|Jeremia 39|Jeremia 41|Jeremia 44
Haran;32;0.34;;2;11;1. Mose 11|1. Mose 12|1. Mose 14|1. Mose 17|1. Mose 25|1. Mose 28|1. Mose 29|1. Mose 37|1. Mose 49|Hesekiel 27|Jesaja 37
Bezug;32;0.97;ja;2;31;1. Mose 12|1. Mose 28|1. Samuel 14|1. Samuel 18|2. Mose 17|2. Samuel 22|2. Samuel 3|2. Samuel 5|2. Samuel 7|3. Mose 17|5. Mose 10|5. Mose 12|5. Mose 22|5. Mose 23|5. Mose 4|Hesekiel 26|Hesekiel 4|Hiob 31|Hiob 36|Hosea 10|Jeremia 31|Jeremia 44|Jeremia 46|Jesaja 2|Maleachi 2|Nahum 1|Nahum 2|Psalmen 1|Psalmen 16|Sacharja 3|Sprüche 4
Gosen;32;0.25;;2;8;1. Mose 45|1. Mose 47|1. Mose 50|2. Mose 7|2. Mose 8|2. Mose 9|Josua 10|Josua 16
Zorns;32;0.78;ja;2;25;2. Mose 15|2. Mose 31|5. Mose 32|Habakuk 2|Habakuk 3|Hesekiel 22|Hesekiel 6|Hiob 20|Hosea 10|Jeremia 1|Jeremia 19|Jeremia 5|Jesaja 10|Jesaja 13|Jesaja 42|Jesaja 51|Joel 2|Joel 4|Nahum 1|Psalmen 1|Psalmen 102|Psalmen 69|Psalmen 91|Sacharja 7|Sprüche 1
Tobija;32;0.16;;2;5;Nehemia 12|Nehemia 2|Nehemia 3|Nehemia 4|Nehemia 6
Dadurch;31;0.97;ja;2;30;1. Mose 1|1. Mose 12|1. Mose 17|1. Mose 20|1. Mose 31|1. Mose 38|1. Mose 44|1. Mose 7|1. Samuel 25|1. Samuel 7|2. Mose 16|2. Mose 23|2. Mose 4|2. Mose 40|2. Samuel 11|3. Mose 17|5. Mose 20|5. Mose 22|5. Mose 28|5. Mose 31|Hesekiel 12|Hesekiel 21|Hiob 13|Hiob 23|Jeremia 44|Jesaja 1|Josua 14|Josua 8|Psalmen 128|Sacharja 13
Rabba;31;0.42;;2;13;2. Samuel 10|2. Samuel 11|2. Samuel 12|2. Samuel 13|2. Samuel 18|2. Samuel 24|5. Mose 2|Hesekiel 21|Hesekiel 22|Hesekiel 24|Jeremia 48|Josua 14|Josua 16
Asdod;31;0.45;;2;14;1. Samuel 2|1. Samuel 4|1. Samuel 6|1. Samuel 7|2. Samuel 11|2. Samuel 21|Jeremia 26|Jesaja 19|Jesaja 21|Josua 12|Josua 16|Nehemia 13|Nehemia 4|Sacharja 9
Zidon;30;0.37;;2;11;1. Mose 10|1. Mose 48|2. Samuel 24|Hesekiel 27|Hesekiel 29|Jeremia 26|Jeremia 46|Jesaja 23|Josua 10|Josua 19|Sacharja 8
Kedar;30;0.27;;2;8;1. Mose 25|Hesekiel 27|Jeremia 2|Jeremia 49|Jesaja 21|Jesaja 42|Jesaja 60|Psalmen 119
Majestät;30;0.8;ja;2;24;1. Samuel 4|2. Mose 19|2. Mose 24|4. Mose 28|5. Mose 10|5. Mose 33|5. Mose 4|Hiob 13|Hiob 40|Hiob 42|Jeremia 13|Jesaja 11|Jesaja 2|Jesaja 24|Jesaja 27|Jesaja 3|Jesaja 33|Nahum 1|Psalmen 104|Psalmen 144|Psalmen 45|Psalmen 75|Psalmen 91|Psalmen 95
Hamat;30;0.4;;2;12;2. Samuel 8|4. Mose 13|4. Mose 34|Hesekiel 47|Jeremia 39|Jeremia 49|Jeremia 52|Jesaja 10|Jesaja 11|Jesaja 37|Josua 12|Sacharja 8
Ekron;30;0.37;;2;11;1. Samuel 17|1. Samuel 2|1. Samuel 4|1. Samuel 6|1. Samuel 7|Jeremia 26|Josua 12|Josua 14|Josua 16|Josua 19|Sacharja 9
Ahitophel;30;0.13;;2;4;2. Samuel 11|2. Samuel 15|2. Samuel 16|2. Samuel 18
Ahas;30;0.4;;2;12;Hesekiel 23|Hesekiel 26|Jesaja 1|Jesaja 10|Jesaja 14|Jesaja 2|Jesaja 35|Jesaja 37|Jesaja 38|Jesaja 56|Jesaja 7|Jesaja 8
Gomorra;29;0.45;;2;13;1. Mose 10|1. Mose 14|1. Mose 18|1. Mose 20|5. Mose 29|5. Mose 32|Hosea 10|Jeremia 21|Jeremia 23|Jeremia 49|Jeremia 50|Jesaja 1|Jesaja 13
Aram;29;0.45;;2;13;1. Mose 10|1. Mose 23|1. Mose 25|2. Samuel 15|2. Samuel 8|4. Mose 23|5. Mose 26|Hosea 13|Jesaja 14|Jesaja 16|Jesaja 37|Jesaja 60|Jesaja 7
